ART CODE,TITLE,TYPE,YEAR,ARTIST,ADDRESS,LOCATION,X,Y,IMAGE_URL,JPG_URL
510,Untitled Don Quixote Sketch,drawing,1982,Nick Abdalla,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/6877557339/in/photostream/,http://farm8.staticflickr.com/7180/6877557339_d00cfba2e1_m.jpg
511,Sancho,drawing,1982,Nick Abdalla,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486732457/,http://farm3.staticflickr.com/2319/2486732457_cb5afc9c45_m.jpg
512,In the Valley,Painting (visual works),2001,Carl von Hassler,423 Central Ave NW,KiMo Theater,-106.6526587,35.0848,http://www.flickr.com/photos/abqpublicart/2478322885/in/photostream/,http://farm4.staticflickr.com/3028/2478322885_1ef4803e15_m.jpg
513,Winter in the Valley,Painting (visual works),2001,Carl von Hassler,423 Central Ave NW,KiMo Theater,-106.6526587,35.0848,http://www.flickr.com/photos/abqpublicart/2479134632/in/photostream/,http://farm4.staticflickr.com/3092/2479134632_6b502ecd4f_m.jpg
514,All My Relations,public sculpture,2001,Bruce  LaFountain,11850 Sunset Gardens SW,Westside Animal Control Center,-106.7614158,35.0648,http://www.flickr.com/photos/abqpublicart/2421493628/,http://farm3.staticflickr.com/2045/2421493628_4da6031830_m.jpg
515,Icarus Sundial,public sculpture,2004,Gino Schiavone,1701 Mountain Rd NW,Explora,-106.6649671,35.0974,http://www.flickr.com/photos/abqpublicart/2478322947/,http://farm4.staticflickr.com/3116/2478322947_34fa75bbb8_m.jpg
516,To the Swinger of Birches I,monoprint,2001,La Verne Harper,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486732499/,http://farm3.staticflickr.com/2403/2486732499_b988ccb1f9_m.jpg
517,To the Swinger of Birches II,monoprint,2001,La Verne Harper,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486732633/in/photostream/,http://farm3.staticflickr.com/2281/2486732633_1fdf48cd00_m.jpg
518,Cowgirl Stories of the West,monoprint,2001,Spencer Kimball,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486732689/in/photostream/,http://farm3.staticflickr.com/2393/2486732689_87128defc6_m.jpg
519,Mysterious Cowboy Tales,monoprint,2001,Spencer Kimball,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486732863/in/photostream/,http://farm3.staticflickr.com/2216/2486732863_0088c84d7e_m.jpg
520,M. W. Rabbit Cup & Teapot,monoprint,2001,DeLoss McGraw,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2487548232/in/photostream/,http://farm3.staticflickr.com/2087/2487548232_e1caf4f6d4_m.jpg
521,Queen of Hearts in Red Field,monoprint,2001,DeLoss McGraw,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2487548280/in/photostream/,http://farm3.staticflickr.com/2063/2487548280_40aac032ca_m.jpg
522,Untitled,monoprint,2001,Hung Liu,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2487548322/in/photostream/,http://farm3.staticflickr.com/2336/2487548322_122c2408b2_m.jpg
523,Untitled,monoprint,2001,Hung Liu,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486733047/in/photostream/,http://farm3.staticflickr.com/2186/2486733047_06e8917eff_m.jpg
524,Untitled,monoprint,2001,Robert Pelegrin,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2487548434/in/photostream/,http://farm3.staticflickr.com/2335/2487548434_e3e5343185_m.jpg
525,Untitled,monoprint,2001,Robert Pelegrin,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486733113/in/photostream/,http://farm4.staticflickr.com/3281/2486733113_a434901363_m.jpg
526,Energy and Birds,monoprint,2001,Georgia Marsh,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486733221/in/photostream/,http://farm3.staticflickr.com/2246/2486733221_98d7017da2_m.jpg
527,Absent the Dead Are,monoprint,2001,Georgia Marsh,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486733287/in/photostream/,http://farm3.staticflickr.com/2363/2486733287_322709154c_m.jpg
528,Petals,monoprint,2001,Susan Linnell,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486733317/in/photostream/,http://farm3.staticflickr.com/2036/2486733317_9bb7543367_m.jpg
529,White Lily Turn,monoprint,2001,Susan Linnell,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2487548748/in/photostream/,http://farm3.staticflickr.com/2337/2487548748_1f08bd9f61_m.jpg
530,Seated Rabbit I,monoprint,2001,Jaune Quick-to-See Smith,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486733487/in/photostream/,http://farm3.staticflickr.com/2002/2486733487_59074fed21_m.jpg
531,Buffalo Amulet II,monoprint,2001,Jaune Quick-to-See Smith,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2487548884/in/photostream/,http://farm3.staticflickr.com/2004/2487548884_e6476f38e1_m.jpg
532,Untitled (Snake),monoprint,2001,Enrique Chagoya,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2486733555/in/photostream/,http://farm3.staticflickr.com/2178/2486733555_75112180ef_m.jpg
533,Untitled (Blue Head),monoprint,2001,Enrique Chagoya,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2487549332/in/photostream/,http://farm3.staticflickr.com/2286/2487549332_96dff6cca1_m.jpg
534,Swan Song,monoprint,2001,William Wiley,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/6877582437/,http://farm8.staticflickr.com/7059/6877582437_ef3bd221f2_m.jpg
535,The Soul in Transition,monoprint,2001,William Wiley,501 Copper NW,Main Library,-106.6532516,35.0862,http://www.flickr.com/photos/abqpublicart/2487549398/,http://farm3.staticflickr.com/2171/2487549398_1f37d0d581_m.jpg
536,The Mall,Painting (visual works),2001,Enrique Montenegro,908 Eastridge DR NE, Lomas/Tramway Library,-106.49789,35.085606,http://www.flickr.com/photos/abqpublicart/1030964856/,http://farm2.staticflickr.com/1080/1030964856_653868f07e_m.jpg
537,Velocipede,Assemblage,2001,Robert Hooton,908 Eastridge DR NE,Lomas Tramway Library,-106.49789,35.085606,http://www.flickr.com/photos/abqpublicart/1030964914/in/photostream/,http://farm2.staticflickr.com/1183/1030964914_8bb724e309_m.jpg
538,Sandia Sunset,Painting (visual works),2001,Robert Hooton,908 Eastridge DR NE,Lomas Tramway Library,-106.49789,35.085606,http://www.flickr.com/photos/abqpublicart/1030964966/in/photostream/,http://farm2.staticflickr.com/1096/1030964966_83cd32a8ae_m.jpg
539,Untitled 541 (Orange),Painting,2001,Florence Pierce,400 Marquette NW,"City/County Government Bldg., Cultural Services",-106.6449142,35.088,http://www.flickr.com/photos/abqpublicart/6877618975/,http://farm8.staticflickr.com/7044/6877618975_7ae8e46856_m.jpg
540,Untitled #542 (Red) ,Painting,2001,Florence Pierce,400 Marquette NW,"City/county Government Bldg., Cultural Services",-106.6449142,35.088,http://www.flickr.com/photos/abqpublicart/1030113651/,http://farm2.staticflickr.com/1156/1030113651_03f7dd0d48_m.jpg
